id,oppgave_master_id,kode,beskrivelse,bygningsdel
8e1bafc0-de1d-43fe-a859-fcecae1f3a97,200.04,1.13,Kontroller for skader og sprekkdannelser,282
8e48d710-742e-4719-b1d3-d7ca94186eca,732.02,1.3,Lagre servicerapporten som dokumentasjon,732
91042e4f-68a6-4897-b70c-47c7de627794,738.02,1.1,Utfør igangsetting av utendørs fontener og damanlegg på våren,738
93097589-3677-45f1-b787-41195906dc89,320.01,1.1,Spyl gjennom alls dusjer og utslagsvasker i 3 minutter med blandet kaldt og varmt vann med trykk,320
94a60b39-0010-476a-a96e-bd3e84ae031f,262.01,1.3,Kontroller at all takstein er på plass,262
94eec28e-1360-45a4-9cee-2430115b1ad1,413.01,1.1,Utfør visuell kontroll fra bakken og fra tak av nedledere og koblinger i forgreininger,413
95cb15b0-f267-4cab-b79e-2d93315c6432,350.02,1.07,Kontroller at alle tilkoblinger er i orden og varmgang ikke forekommer,350
960a41d3-20c5-4b7d-a442-130b4a6a3e8b,773.01,1.2,Kontroller at flaggline er festet forsvarlig fast til flaggstang,773
97244593-9974-4bf7-9e5e-cf912ee06179,732.01,1.3,Kontroller driftstrykket og om det er nok væske/glykol på anlegget (i rørsløyfene),732
99f0b2d6-9850-4d18-9e1c-a7021febde39,542.02,1.2,Kontroller overføring til brannvesenet,542
9a2cc7ba-b465-4fa1-8674-691ac969e4e1,626.01,1.2,Lukk evt. avvik fra servicerapporten,626
9a730c8f-cc99-4a3c-9617-c986b178af18,310.01,1.1,Kontroller at tilbakestrømningsbeskyttelsen på hovedinntaket fungerer som tiltenkt,310
9b87a002-d6db-40c3-a466-b7e0ef817d2f,332.02,1.3,Lagre servicerapport som dokumentasjon,332
9b8caccc-680b-4e66-9fdd-fb2277e04f78,200.04,1.05,Kontroller glassfasader for skader og sprekker,233
9c2cc40d-a72c-43cb-bef0-19bda57ede40,626.02,1.4,Kontroller at nødstopp og at annen elektronikk fungerer,626
9c8cd680-66bb-4bdf-bacb-54566cf3230a,738.03,1.2,Lukk evt. Avvik fra servicerapporten,738
9cd810c8-b813-45d0-b1ac-6520fc4ddd90,660.01,1.3,Kontroller at pumpen går uten ulyder og vibrasjoner (start pumpen manuelt),660
9e80d8dc-d05e-4d56-8337-885e22b2cb3d,430.01,1.12,Kontroller at overspenningsvern er intakt,430
9eb05818-1de9-483b-afd5-6e0f309548c7,360.01,1.01,"Kontroller at pumpen går og uten lyder, vibrasjoner eller har lekkasjer og/eller varmgang",360
9eb76a1d-5287-4e26-ae8c-0192170cc0fd,200.04,1.12,Kontroller for skader og sprekkdannelser,281
9f206a0e-8342-4d29-b16d-b36c2eaa6519,413.01,1.2,Kontroller om ledere ligger i takbrakkettene og om disse står støtt,413
9f3256b7-d182-4064-9982-d1fc95bdd7d6,369.01,1.2,Lukke evt. avvik fra servicerapporten,369
a086a8f7-0190-4f8f-a50f-504105e24dcc,360.01,1.08,Kontroller trykkfallet over filtrene og skfit ved behov,360
a1a04b41-757d-4c11-9a36-0c83b5dee687,300.01,1.01,Kontroller funksjon og at dørpumper og holdemagneter fungerer tilfredstillende,249
a5c508f2-9d5c-4ab0-aa90-359a7bff49d8,745.01,1.1,Kontroller at varmekablene er slått på før første frost i vintersesongen,745
a87fa4e4-4ebe-49ec-b541-230890199c66,661.01,1.1,"Kontroller at mekanismene virker som det skal, at alle tau er hele og drivverk fungerer",661
a9dadf78-ce7c-4e7f-83a7-526eaa794946,350.02,1.08,Kontroller for glykolnivå,350
aab9bae0-e3e4-4a31-92ea-0b3830ffd152,315.01,1.2,Kontroller at alle toalletene ikke er skadet og er festet godt,315
ab175e37-a53d-4f5b-afd4-3e35433624ab,262.01,1.7,"Kontroller taket for skader, løse deler, uønskede plantevekster, søppel og avfall",262
ab606023-93c1-4951-ad33-45e76a8ff003,300.01,1.03,Utfør visuell kontroll og påse at at alt utstyr er intakt og uten skader,263
ad6d9a37-71c4-464a-8f6e-e795e636524c,443.03,1.3,Lagre servicerapport som dokumentasjon,443
adcff529-46b0-408e-8100-058d9c465a0a,443.01,1.1,Kontroller nødlyssentralen for alarmer og feilmeldinger,443
aea9e86e-8318-4eaa-94b9-f8166a27a50a,353.01,1.1,Kontroller visuelt fancoil/kjølebaffel/kjøletårn,353
